"material","asgrp","brand","matcateg","matdirec","txt"
1225994,1258,11805,S,24,xИнд.заказ 131326-9 (П) Визитки
1230155,2717,13633,S,59,Кастрюля алюм. 15л (Б.Калитва) 14150
1231843,5211,13412,D,70,Пилка для лобзика T118A 5шт/уп В22 HSS 76/1.1мм рез-3мм Makita A-85737
1234176,300,13633,П,8,Мебель PT Арго Стол письменный АМБ-004.60-6 бук/антр
1362631,4537,13633,S,22,"Костюм медицинский мужской белый/серый (размер 56-58,рост 182-188)"
59199,2443,13633,J,50,Упак.кондит.изделий Коррекс КР-П КОРИЧНЕВЫЙ (1000шт./уп)
199593,1031,13633,В,22,"Сапоги Марс,нат.кожа+кирза,иск.мех,ТПУ(р.42)"
373124,622,13633,С,8,Сервис ПРАКТИК AFC Ящик Держатель А4 05.02.009
376584,1192,12602,О,11,Картотека А6 на 1200 карточек 52240D
442987,2621,13633,H,58,"Удлинитель 50м, бублик, 1 розетка, ПВС 2*0.75, 230В,10 А,2300 вт."
457151,2261,13633,H,30,"Пленка /77901/ Пленка белая матовая, рулон 5 м."
506842,764,21009,H,13,Новогоднее украшение подвесн. Красный конек арт.38658
519956,3786,14350,H,6,"Маршрутизатор TP-LINK TL-WR941ND 450M (2,4ГГц,450Мбит/с,4LAN)"
520666,999,21128,H,18,Рюкзак школьный №1 School Fly ортопед. спинка
558686,86,13633,H,5,Доска пробковая 100х150 деревян. рама Комус rozn
566622,1103,13633,H,22,"Халат рабочий 87585-5 жен. смес. у03-ХЛ, вас/т-син,(р52-54,158-164)"
569543,2238,20920,H,46,Картридж струйный CANON CLI-451XL C (cyan) CLI-451XL C
606358,4104,15152,H,34,Восстанавление картриджа Panasonic KX-FAT92A <Тамбов>
606453,1095,13633,H,22,Куртка 89017-2 муж. Темп/л03-КУ син/вас (р.60-62) 182-188
623182,1252,15408,H,18,Браслет светоотражающий Гонки (87.123)
637829,2743,14686,H,60,Мобильный телефон ZTE R550 черно-голубой
698992,553,14164,H,9,Сплит-система Scarlett RRI 12-M3G8  из 2частей
720016,618,11805,С,8,Сервис ME_Стойка передняя D8M металлик
728666,2142,13633,H,45,"Набор бумаги для скрапбукинга двусторонняя, СКБ-002"
731499,3907,13164,H,6,Модуль памяти Kingston DDR-III 8GB (PC3-10600) 1333MHz CL9/KVR1333D3N9/8G
732080,2261,11805,H,30,Доп.заказ Набор косца Косарь № 6 с дер. Косавищем_
740636,5008,12223,И,64,Весы напольные PB-150 с пред.150 кг
743922,2506,14191,H,52,Портмоне Sergio Belotti 3528 ancona brown мужской
744121,160,12494,H,6,Системный блок DELL Optiplex 7050 SFF (7050-8336) i7-7700/8GB/1TB/W10Pro
750386,1258,11805,H,24,"xИнд.заказ 100780-1 Зонт-трость Зонт-трость Unit Promo, зеленый"
759626,586,13633,H,8,СПб Доп.Заказ /69170/Замок и шпингалет для двер.ЛДСП
815108,3785,11805,H,6,Доп.заказ Коммутаторы до 1000Mbps Ubiquiti UniFi Switch 16(150W) s158447
821724,4108,28073,H,76,Салатник проз.крыш ECO OpSalad 150х150х50 900мл 150шт/уп
831348,303,13633,H,8,Уценка Easy St Тумба приставная 904010 т.дуб/сер.(570)3 ящ./
893599,3494,11805,H,70,"Набор угловых шестиграников 1,5-10мм, 9 пред. S2 матер. H01SM109S 047090"
900573,994,11805,H,18,"Обложка ПВХ 240 х 345 мм, 110 мкм, для прописей Горецкого"
902090,1634,15443,H,35,"Пиратский корабль + конструктор Полесье (30 элементов, в коробке) 62246"
939480,1738,29967,H,35,Карта подарочная Читай-Город 2000р
954913,2512,13864,H,52,"Уценка Чемодан Polar салатовый  пластик ABS  малый 63,5 л Р12016"
961809,3080,11805,H,70,Труба гибкая подводка для воды 50 см 3/4 в/н
990746,3817,28695,H,35,Грунт для томатов и перцев Фаско Малышок 5л Тп0102МАЛ01
1000994,999,12194,П,18,РЮКЗАК СИНИЙ  С ЭРГОНОМИЧНОЙ СПИНКОЙ БОЖЬИ КОРОВКИ.ЦВЕТЫ 12-001-052/02
1003686,1258,11805,H,24,xИнд.заказ  119018-1 Оснастка для круглой печати COLOP R45
1022978,4700,30806,H,10,Блок для записей Я принес тебе кофеёчек и обнимашки 3860949
1025518,639,12519,H,9,Проектор Digma DiMagic Cube черный (DM001)
1072402,4669,14652,И,66,Финишер -брошюровщик Xerox BR с перфорацией (097S04982)
1115290,1728,13633,П,35,"Термостакан Gems Green Emerald, зеленый изумруд 1907.92"
1126171,4180,34690,H,51,Туалетная вода Issey Miyake L'eau D'Issey Sport pour homme edt 100 ml
1132016,160,12935,H,6,Системный блок HP ProDesk 400 [4CZ70EA] i5-8500/8Gb/256Gb DVDRW/Win10Pro
1137889,2927,12272,H,66,Принтер Canon PIXMAMP160
1166625,4590,13633,H,22,Спец.одежда летняя с лог Костюм л10-КПК т-сер/с-сер 48-50 182-188 129126-8
1169668,1022,14809,D,18,"Папка для черчения 10л,А4,160гр. с вертикальным штампом С0111 в ассорт"
1180494,3818,13268,П,35,Кашпо Кьюб Коттедж 50 Мокко с системой полива 15395
1224122,2870,12188,S,64,Принтер д/печ наклеек Brother PTE-110VP+10 допкассет с лент(PTE110VPR1BUND)
1251129,747,12000,D,11,Папка-конверт на кнопке  А4Attache Sel-on SWEET LIFEас325х215мм200мкм5шт/уп
1265969,2786,11988,И,62,Полотенце Arya Жаккард Бархатное 50X90 Sabino Зеленый500 гр/м2
1268008,2547,27528,П,54,Крем-мыло ФАВОРИТ 5 л Нейтральное
1305308,587,13633,S,8,Жалюзи горизонтальные /Белый глянец (25 мм.) 1730мм. Х560мм
1322668,4588,11805,S,41,xИнд.заказ 137251-1 (А) Блокнот индивидуальный А5
1331639,4590,13633,S,22,Костюм рабочий зимний с лог з20-КПК свзел/зел 44-46 170-176 137745-2
1421997,154,12431,V,6,Уценка ИБП CyberPower BU600E (3евро/360Вт)(Товар№3)
189439,2095,11805,H,43,Сырье PS д/ф-ки Пленка PS (510х350) белая С
324347,2261,13633,H,30,СПб Доп.заказ /43273/ Стекломой L-33 + черенок телескопический 200см
345212,158,13219,H,6,Монитор 23 LG 23EA53T 1920x1080/IPS/5ms/D-Sub/DVI-D
357480,2784,14995,H,62,"Постельное белье 2-сп. Армани, ткань поплин 100% хлопок"
357619,2261,13633,H,30,Комус Шанс 610_Чайный набор (12 предметов) IRH-309F
359884,2261,11805,H,30,Доп.заказ Котел 37л нерж.утолщ.дно сэндвич36х36см с кр. Кт418 LUXSTAHL
374926,3175,13633,H,72,"Ручка шариковая автоматическая Гранд,цв. чернил синий,цв.корпуса черный"
413787,2094,11805,H,43,"Экструз пр-во BOPS 3К Пленка BOPS (725х350) пр 1,8 ОФ Б (д.изг. 20/06/14)"
457306,2261,11805,H,30,Доп.заказ Валик маляpный 20 cм
474315,2261,11805,H,30,Доп.заказ Пяльца d - 210
485205,837,20960,H,14,"Нектар  Тамара  малина, 0,33 л, 20 шт./уп."
489540,2400,20941,H,45,"Раскраска Арт-терапия.Рисуйте,чтобы снять стресс,6929"
489541,2400,20941,H,45,"Раскраска Великолепная раскраска для девочек,5560"
497575,2549,12335,H,54,Освежитель воздуха CHIRTON Ландыш 300мл_СЦ
507431,2572,13156,H,54,"Флакон-распылитель Kiehl 500 мл., цвет зеленый (пенный распылитель)"
527233,4104,15152,H,34,Восстановление картриджа HP Q6460A <Волгоград>
628760,1885,25170,H,42,Средство д/гигиены носа Аквалор норм 125мл спрей
632591,2261,12171,H,30,"Доп.заказ Аккумулятор BOSCH S5 013 Silver Plus 600 402 083, 100е Ач'"
644320,2922,12935,П,66,МФУ HP OfficeJet 252 Mobile AiO Printer (N4L16C)A4 10стр 3in1
662994,2744,13633,H,60,Смартфон Samsung Galaxy J1 mini SM-J105 8GB (2016) золотистый v-si
673769,2454,24446,H,51,Подарочный набор мыла ручной работы Море деликатесов МН-02
719027,137,12935,H,6,Ноутбук HP Probook 440 G4(Y7Z78EA)14/i3-7100U/4Gb/500Gb/DOS/NSK
719822,2261,11805,H,30,Доп.заказ Электромегафон МЕТА _2630 c выносным микрофоном и MP3
734286,1258,11805,H,24,"xИнд.заказ 100012-5 Визитки BC04, Геранкова Анастасия Александровна"
767760,618,11805,С,8,Сервис Mon_Вектор Полка 05.00061 честерфилд тем
789911,1258,11805,H,24,xИнд.заказ 104146-4 планнинг индивидуальный 1
817922,2217,15088,H,46,Ремонт 2-й категории принтера HP 2055 ч/б(ВР)
839496,3794,11805,H,70,"Доп.заказ Дюбель универсальный 6x52 тип U, борт (1000 шт)"
871768,2331,27443,H,35,Аромадиффузор с палочками 88 мл Розовые пески 1348803E
873575,520,12453,H,9,"Уценка. Детектор банкнот (валют) DORS 210 Compact автомат, RUB уц_тех"
884220,1077,13633,H,22,Каска 3М PELTOR G3000 /115874/
899448,137,12935,H,6,Ноутбук HP 250G6(2SX59EA)15/N4200/4G/500G/DVD/Int/DOS
900338,2672,15152,О,59,"Стакан одноразовый 100мл Комус, для хол/гор., ПП 100шт/уп"
953897,1258,11805,H,24,"xИнд.заказ 116170-2 Ежедневник New Brand, недатированный, синий"
955501,2261,11805,H,30,Доп.заказ 80
983807,309,13633,U,8,Мебель 0K3_SL Simple Дверь высокая SD-5BR правая дуб сонома
1008173,3106,30812,D,71,Совок HACCPER ручной 9101 G зеленый
1069216,1258,11805,H,24,"xИнд.заказ 122563-4 Визитки, Без разновидностей"
1082253,1592,32242,D,35,Набор стопок Барокко 60мл 6шт/уп арт.837
1095997,3475,13633,H,68,Кронштейн ТВ4 транспортный (с металлической защелкой для ОП-4) (d = 150 мм)
1104540,728,15152,H,11,Папка-регистратор Комус Стандарт 50мм бирюзовая_Т
1107234,1560,26754,H,35,Светильник Ким 2xE27x60Вт натуральный 240-71-22
1109318,3490,12194,H,70,"Нож канцелярский 18 мм Bruno Visconti UNICUT, резиновое покрытие"
1123219,4590,13633,H,22,Костюм рабочий зимний с лог з12-КПК син/вас 44-46 158-164 126082-4
1183238,3522,12627,D,72,"Маркер перманентный EDDING 2000C/6 оранжевый 1,5-3мм металл.корп"
1206754,3614,14196,И,9,"Фильтр угольный Sharp FZD60DFE,для модели KCD61R"
1237916,2826,14225,П,63,Утюг Sinbo SSI 6619 2400Вт фиолетовый/белый Екат
1265627,300,13633,H,8,"СпецМеб 1L5_ПОН Стол компьютерн,800x500x750,ЛДСП 25мм,т-вишня"
1278935,4590,13633,S,22,Трикотаж с лог Футболка 160г кор рук вас XXXL 132944-8
1286027,137,11996,H,6,Ноутбук ASUS X712FB 17.3/i3-10110U/4Gb/512Gb/2Gb/W10 (90NB0L41-M04720)
1304831,4590,13633,S,22,Спец.одежда зимняя с лог Куртка ж зим з10-КУ 60-62 170-176 135512-5
1307896,501,13633,S,9,Пломбир п/пластилин d25мм с гравировкой Кассир2 ТК-82
1323228,4590,13633,S,22,Спец.одежда зимняя с лог Куртка з32-КУ син/вас оксф 56-58 182-188 137177-10
1361365,5238,32434,И,70,Отвертка c трехкомп. рукояткой РZ1х38 мм Дело Техники 723012
1371149,2745,13086,H,60,Гарнитура Jabra EVOLVE 65 MS Stereo // [6599-823-309
1359493,3176,12194,L,72,"Набор шариковых ручек HappyWrite.Джинса/Шокол.серд.0.5мм,син,20-0215/1415"
1371992,1258,11805,S,24,xИнд.заказ 140180-1 (П) Визитки 11
1399102,332,13633,S,8,Полка яруса MS Pro 80х30 4шт./уп
1243145,3866,14480,H,61,"Уценка Светильник Uniel TLD-512 серебро, LED, сенсорный"
1275886,634,13633,V,8,"Уценка 01В Кресло UP_EChair-203 PTW net ткань черная, сетка оранжевая, хром"
1307280,3791,25255,P,6,Патч-корд Hyperline PC-LPM-UTP-RJ45-RJ45-C5e-0.5M-LSZH-BL Cat.5e 0.5м
1330048,1224,12653,И,15,Картридж Epson T6162 C13T616200 голубой для B300/B500
1366537,1094,13633,И,22,Спец.одежда летняя Костюм муж. л23-КПК  сер/красн р.60-62/182-188 ЧЛБ
1410220,3748,29446,И,86,Картон упаковочный MetsaBoard Pro FBB OBAfree роль 230г ф.894 вт.153
1411587,761,13633,P,13,Ель комнатная Нордман 240 см 156-334
1422669,3176,13633,Т,72,Ручка шариковая Dolce Costo прозр.корп синяя 1мм
